
Processing dataset
Estimated duration for training and optimization: 64000 ms (1 min 4 sec)
Creating a new network

Iteration number 1
NMSE is 15.777 on Training Set and  3.536 on Test Set
NMSE is  0.016 on Training Set and  0.003 on Test Set
NMSE is  0.016 on Training Set and  0.003 on Test Set
NMSE is  0.016 on Training Set and  0.003 on Test Set
NMSE is  0.015 on Training Set and  0.003 on Test Set
NMSE is  0.016 on Training Set and  0.003 on Test Set
NMSE is  0.016 on Training Set and  0.003 on Test Set
NMSE is  0.015 on Training Set and  0.003 on Test Set
NMSE is  0.015 on Training Set and  0.003 on Test Set
NMSE is  0.015 on Training Set and  0.003 on Test Set
NMSE is  0.015 on Training Set and  0.003 on Test Set
NMSE is  0.015 on Training Set and  0.003 on Test Set
NMSE is  0.015 on Training Set and  0.003 on Test Set
NMSE is  0.015 on Training Set and  0.003 on Test Set
NMSE is  0.015 on Training Set and  0.003 on Test Set
NMSE is  0.015 on Training Set and  0.003 on Test Set
NMSE is  0.015 on Training Set and  0.003 on Test Set
Finished in 2 iterations (4000 epochs)

Actual duration 98524 ms

Verifying on 240 train data :  0 errors (0.00%)
Verifying on 60 test data  :  0 errors (0.00%)

Validation x =  0.769 : 	prediction  0.699, 	expected  0.695 --> OK
Validation x = -0.577 : 	prediction -0.538, 	expected -0.545 --> OK
Validation x = -2.435 : 	prediction -0.655, 	expected -0.649 --> OK
Validation x =  1.987 : 	prediction  0.918, 	expected  0.915 --> OK
Validation x =  3.076 : 	prediction  0.089, 	expected  0.066 --> OK
Validation x = -1.602 : 	prediction -0.954, 	expected -1.000 --> OK
Validation x =  1.538 : 	prediction  0.964, 	expected  0.999 --> OK
Validation x =  2.435 : 	prediction  0.650, 	expected  0.649 --> OK
Validation x =  0.577 : 	prediction  0.539, 	expected  0.545 --> OK
Validation x = -0.384 : 	prediction -0.367, 	expected -0.375 --> OK
---------------------------
Network has 4 layers:
Layer number 0: 1 neurons
Layer number 1: 8 neurons, activation SIGMOID, 16 weights
Layer number 2: 3 neurons, activation SIGMOID, 27 weights
Layer number 3: 1 neurons, activation SIGMOID, 4 weights
Total number of weights: 47
Learning rate is: 0.500
Gain is: 1.000
Momentum is: 0.900
---------------------------
